nombre,tipo,clase
Zorro volador,volador,murciélago
Murciélago de herradura,volador,murciélago
Murciélago orejudo,volador,murciélago
Murciélago pescador,volador,murciélago
Murciélago abejorro,volador,murciélago
Murciélago común,volador,murciélago
Murciélago cola de ratón,volador,murciélago
Murciélago martillo,volador,murciélago
Murciélago fantasma,volador,murciélago
Murciélago de la fruta egipcio,volador,murciélago
Nóctulo gigante,volador,murciélago
Abeja melífera,volador,insecto
Abeja africanizada,volador,insecto
Abejorro,volador,insecto
Abeja carpintera,volador,insecto
Avispa común,volador,insecto
Avispón asiático gigante,volador,insecto
Avispón europeo,volador,insecto
Avispa cazadora de tarántulas,volador,insecto
Avispa alfarera,volador,insecto
Avispa papelera,volador,insecto
Mosca doméstica,volador,insecto
Mosca tse-tsé,volador,insecto
Mosca de la fruta,volador,insecto
Moscarda azul,volador,insecto
Tábano,volador,insecto
Mosquito tigre,volador,insecto
Mosquito anófeles,volador,insecto
Libélula emperador,volador,insecto
Libélula,volador,insecto
Caballito del diablo,volador,insecto
Mariposa monarca,volador,insecto
Morfo azul,volador,insecto
Mariposa cola de golondrina,volador,insecto
Mariposa búho,volador,insecto
Mariposa de la col,volador,insecto
Mariposa alas de pájaro,volador,insecto
Polilla atlas,volador,insecto
Esfinge colibrí,volador,insecto
Polilla luna,volador,insecto
Esfinge de la calavera,volador,insecto
Luciérnaga,volador,insecto
Mariquita,volador,insecto
Cigarra,volador,insecto
Langosta del desierto,volador,insecto
Escarabajo Goliat,volador,insecto
Ciervo volante,volador,insecto
Efímera,volador,insecto
Crisopa,volador,insecto
Hormiga león,volador,insecto
Mosca escorpión,volador,insecto
Chinche hedionda,volador,insecto
Abeja de las orquídeas,volador,insecto
Ardilla voladora,volador,animal planeador
Colugo,volador,animal planeador
Dragón volador,volador,animal planeador
Serpiente voladora del paraíso,volador,animal planeador
Rana voladora de Wallace,volador,animal planeador
Petauro del azúcar,volador,animal planeador
Tiburón blanco,marino,pez cartilaginoso
Tiburón tigre,marino,pez cartilaginoso
Tiburón toro,marino,pez cartilaginoso
Tiburón martillo gigante,marino,pez cartilaginoso
Tiburón ballena,marino,pez cartilaginoso
Tiburón peregrino,marino,pez cartilaginoso
Tiburón mako,marino,pez cartilaginoso
Tiburón azul,marino,pez cartilaginoso
Tiburón limón,marino,pez cartilaginoso
Tiburón nodriza,marino,pez cartilaginoso
Tiburón de puntas negras,marino,pez cartilaginoso
Tiburón oceánico de puntas blancas,marino,pez cartilaginoso
Tiburón zorro,marino,pez cartilaginoso
Tiburón duende,marino,pez cartilaginoso
Tiburón de Groenlandia,marino,pez cartilaginoso
Tiburón cebra,marino,pez cartilaginoso
Tiburón sierra,marino,pez cartilaginoso
Tiburón ángel,marino,pez cartilaginoso
Tiburón cigarro,marino,pez cartilaginoso
Tiburón boquiancho,marino,pez cartilaginoso
Tiburón anguila,marino,pez cartilaginoso
Tiburón alfombra,marino,pez cartilaginoso
Pintarroja,marino,pez cartilaginoso
Cazón,marino,pez cartilaginoso
Mantarraya gigante,marino,pez cartilaginoso
Raya águila,marino,pez cartilaginoso
Raya látigo,marino,pez cartilaginoso
Raya motoro marina,marino,pez cartilaginoso
Pez sierra,marino,pez cartilaginoso
Pez guitarra,marino,pez cartilaginoso
Raya torpedo,marino,pez cartilaginoso
Quimera,marino,pez cartilaginoso
Atún rojo,marino,pez
Atún de aleta amarilla,marino,pez
Bonito,marino,pez
Caballa,marino,pez
Sardina,marino,pez
Anchoa,marino,pez
Arenque,marino,pez
Bacalao,marino,pez
Merluza,marino,pez
Abadejo,marino,pez
Eglefino,marino,pez
Lenguado,marino,pez
Rodaballo,marino,pez
Platija,marino,pez
Fletán,marino,pez
Salmón atlántico,marino,pez
Salmón real,marino,pez
Pez espada,marino,pez
Pez vela,marino,pez
Marlín azul,marino,pez
Marlín negro,marino,pez
Dorado mahi-mahi,marino,pez
Barracuda,marino,pez
Mero gigante,marino,pez
Mero de Nassau,marino,pez
Pargo rojo,marino,pez
Robalo,marino,pez
Lubina,marino,pez
Dorada,marino,pez
Corvina,marino,pez
Lisa,marino,pez
Pez luna,marino,pez
Pez remo,marino,pez
Pez globo,marino,pez
Pez erizo,marino,pez
Pez cofre,marino,pez
Pez ballesta,marino,pez
Pez loro,marino,pez
Pez ángel emperador,marino,pez
Pez mariposa,marino,pez
Pez payaso,marino,pez
Pez cirujano azul,marino,pez
Pez león,marino,pez
Pez piedra,marino,pez
Pez escorpión,marino,pez
Rascacio,marino,pez
Morena verde,marino,pez
Morena gigante,marino,pez
Congrio,marino,pez
Anguila europea,marino,pez
Anguila jardinera,marino,pez
Pez trompeta,marino,pez
Pez aguja,marino,pez
Caballito de mar,marino,pez
Dragón de mar foliado,marino,pez
Pez pipa,marino,pez
Pez sapo,marino,pez
Rape,marino,pez
Pez víbora,marino,pez
Pez dragón negro,marino,pez
Pez linterna,marino,pez
Anguila pelícano,marino,pez
Pez hacha,marino,pez
Pez borrón,marino,pez
Pez lobo,marino,pez
Pez napoleón,marino,pez
Pez murciélago,marino,pez
Pez rana,marino,pez
Pez piloto,marino,pez
Rémora,marino,pez
Pez volador,marino,pez
Jurel,marino,pez
Pámpano,marino,pez
Palometa,marino,pez
Wahoo,marino,pez
Cobia,marino,pez
Tarpón,marino,pez
Macabí,marino,pez
Pez gallo,marino,pez
Mojarra,marino,pez
Salmonete,marino,pez
Besugo,marino,pez
Sargo,marino,pez
Dentón,marino,pez
Espadín,marino,pez
Capelán,marino,pez
Pez hielo antártico,marino,pez
Bacalao antártico,marino,pez
Celacanto,marino,pez
Esturión beluga,marino,pez
Lamprea marina,marino,pez
Mixino,marino,pez
Gobio,marino,pez
Blenio,marino,pez
Pez mandarín,marino,pez
Pez halcón,marino,pez
Pez ardilla,marino,pez
Pez cardenal,marino,pez
Damisela,marino,pez
Castañuela,marino,pez
Pez unicornio,marino,pez
Ídolo moro,marino,pez
Pez conejo,marino,pez
Pez murciélago de labios rojos,marino,pez
Rape abisal,marino,pez
Pez ogro,marino,pez
Pez trípode,marino,pez
Granadero,marino,pez
Pez cinto,marino,pez
Pez sable,marino,pez
Pez San Pedro,marino,pez
Cabracho,marino,pez
Chopa,marino,pez
Boga,marino,pez
Aguja imperial,marino,pez
Pez ballesta titán,marino,pez
Pez globo tigre,marino,pez
Pez cabra,marino,pez
Pez trompetero,marino,pez
Ballena azul,marino,mamífero marino
Ballena jorobada,marino,mamífero marino
Ballena franca austral,marino,mamífero marino
Ballena gris,marino,mamífero marino
Rorcual común,marino,mamífero marino
Ballena de Groenlandia,marino,mamífero marino
Cachalote,marino,mamífero marino
Cachalote pigmeo,marino,mamífero marino
Ballena minke,marino,mamífero marino
Orca,marino,mamífero marino
Delfín mular,marino,mamífero marino
Delfín común,marino,mamífero marino
Delfín girador,marino,mamífero marino
Delfín listado,marino,mamífero marino
Delfín de Risso,marino,mamífero marino
Calderón común,marino,mamífero marino
Beluga,marino,mamífero marino
Narval,marino,mamífero marino
Marsopa común,marino,mamífero marino
Vaquita marina,marino,mamífero marino
Zifio de Cuvier,marino,mamífero marino
Falsa orca,marino,mamífero marino
Delfín de Commerson,marino,mamífero marino
Manatí antillano,marino,mamífero marino
Dugongo,marino,mamífero marino
Morsa,marino,mamífero marino
Foca común,marino,mamífero marino
Foca gris,marino,mamífero marino
Foca leopardo,marino,mamífero marino
Foca de Weddell,marino,mamífero marino
Foca monje del Mediterráneo,marino,mamífero marino
Foca arpa,marino,mamífero marino
Foca cangrejera,marino,mamífero marino
Elefante marino del sur,marino,mamífero marino
Elefante marino del norte,marino,mamífero marino
León marino de California,marino,mamífero marino
León marino de Steller,marino,mamífero marino
Lobo marino sudamericano,marino,mamífero marino
Oso marino ártico,marino,mamífero marino
Nutria marina,marino,mamífero marino
Tortuga laúd,marino,reptil marino
Tortuga verde,marino,reptil marino
Tortuga carey,marino,reptil marino
Tortuga boba,marino,reptil marino
Tortuga golfina,marino,reptil marino
Tortuga plana,marino,reptil marino
Serpiente marina de vientre amarillo,marino,reptil marino
Krait marino,marino,reptil marino
Iguana marina,marino,reptil marino
Pingüino emperador,marino,ave marina que no vuela
Pingüino rey,marino,ave marina que no vuela
Pingüino de Adelia,marino,ave marina que no vuela
Pingüino de Humboldt,marino,ave marina que no vuela
Pingüino de Magallanes,marino,ave marina que no vuela
Pingüino azul,marino,ave marina que no vuela
Pingüino saltarrocas,marino,ave marina que no vuela
Pingüino barbijo,marino,ave marina que no vuela
Pingüino papúa,marino,ave marina que no vuela
Pingüino de Galápagos,marino,ave marina que no vuela
Pulpo gigante del Pacífico,marino,molusco
Pulpo común,marino,molusco
Pulpo de anillos azules,marino,molusco
Pulpo mimo,marino,molusco
Pulpo dumbo,marino,molusco
Pulpo manta,marino,molusco
Calamar gigante,marino,molusco
Calamar colosal,marino,molusco
Calamar de Humboldt,marino,molusco
Calamar vampiro,marino,molusco
Calamar luciérnaga,marino,molusco
Sepia común,marino,molusco
Sepia gigante,marino,molusco
Sepia flamboyán,marino,molusco
Nautilo,marino,molusco
Caracol cono,marino,molusco
Caracola reina,marino,molusco
Tritón de mar,marino,molusco
Almeja gigante,marino,molusco
Ostra,marino,molusco
Mejillón,marino,molusco
Vieira,marino,molusco
Navaja,marino,molusco
Lapa,marino,molusco
Abulón,marino,molusco
Liebre de mar,marino,molusco
Dragón azul,marino,molusco
Bailarina española,marino,molusco
Quitón,marino,molusco
Bígaro,marino,molusco
Berberecho,marino,molusco
Coquina,marino,molusco
Langosta espinosa,marino,crustáceo
Bogavante americano,marino,crustáceo
Bogavante europeo,marino,crustáceo
Cangrejo real,marino,crustáceo
Cangrejo araña japonés,marino,crustáceo
Cangrejo azul,marino,crustáceo
Cangrejo violinista,marino,crustáceo
Cangrejo ermitaño,marino,crustáceo
Cangrejo Dungeness,marino,crustáceo
Centolla,marino,crustáceo
Nécora,marino,crustáceo
Buey de mar,marino,crustáceo
Camarón mantis,marino,crustáceo
Camarón pistola,marino,crustáceo
Camarón limpiador,marino,crustáceo
Langostino tigre,marino,crustáceo
Cigala,marino,crustáceo
Krill antártico,marino,crustáceo
Percebe,marino,crustáceo
Bellota de mar,marino,crustáceo
Copépodo,marino,crustáceo
Isópodo gigante,marino,crustáceo
Cangrejo herradura,marino,crustáceo
Cangrejo yeti,marino,crustáceo
Cangrejo boxeador,marino,crustáceo
Cangrejo fantasma,marino,crustáceo
Medusa melena de león,marino,invertebrado marino
Avispa de mar,marino,invertebrado marino
Carabela portuguesa,marino,invertebrado marino
Medusa luna,marino,invertebrado marino
Medusa inmortal,marino,invertebrado marino
Medusa huevo frito,marino,invertebrado marino
Medusa de Irukandji,marino,invertebrado marino
Anémona de mar,marino,invertebrado marino
Coral cerebro,marino,invertebrado marino
Coral cuerno de alce,marino,invertebrado marino
Coral de fuego,marino,invertebrado marino
Gorgonia,marino,invertebrado marino
Pluma de mar,marino,invertebrado marino
Estrella de mar común,marino,invertebrado marino
Estrella corona de espinas,marino,invertebrado marino
Estrella girasol,marino,invertebrado marino
Ofiura,marino,invertebrado marino
Erizo de mar púrpura,marino,invertebrado marino
Erizo diadema,marino,invertebrado marino
Erizo de fuego,marino,invertebrado marino
Dólar de arena,marino,invertebrado marino
Pepino de mar,marino,invertebrado marino
Lirio de mar,marino,invertebrado marino
Esponja barril gigante,marino,invertebrado marino
Esponja de tubo,marino,invertebrado marino
Gusano de Bobbit,marino,invertebrado marino
Gusano tubícola gigante,marino,invertebrado marino
Gusano árbol de Navidad,marino,invertebrado marino
Salpa,marino,invertebrado marino
Ascidia,marino,invertebrado marino
Nuez de mar,marino,invertebrado marino
Pirosoma,marino,invertebrado marino
Gusano de fuego barbudo,marino,invertebrado marino
Cochinilla de mar gigante,marino,invertebrado marino
Gato andino,terrestre,mamífero
Gato de Geoffroy,terrestre,mamífero
Gato dorado africano,terrestre,mamífero
Gato dorado asiático,terrestre,mamífero
Gato jaspeado,terrestre,mamífero
Gato leopardo,terrestre,mamífero
Gato de cabeza plana,terrestre,mamífero
Gato herrumbroso,terrestre,mamífero
Güiña,terrestre,mamífero
Colocolo,terrestre,mamífero
Leopardo de Amur,terrestre,mamífero
León asiático,terrestre,mamífero
Tigre malayo,terrestre,mamífero
Tigre de Indochina,terrestre,mamífero
Lobo etíope,terrestre,mamífero
Lobo rojo,terrestre,mamífero
Chacal rayado,terrestre,mamífero
Zorro de Bengala,terrestre,mamífero
Zorro corsac,terrestre,mamífero
Zorro tibetano,terrestre,mamífero
Zorro kit,terrestre,mamífero
Zorro veloz,terrestre,mamífero
Zorro isleño,terrestre,mamífero
Zorro culpeo,terrestre,mamífero
Zorro chilla,terrestre,mamífero
Zorro cangrejero,terrestre,mamífero
Perro de monte,terrestre,mamífero
Perro cantor de Nueva Guinea,terrestre,mamífero
Macaco de Berbería,terrestre,mamífero
Macaco cola de león,terrestre,mamífero
Macaco de cola de cerdo,terrestre,mamífero
Mono de noche,terrestre,mamífero
Tití de cabeza blanca,terrestre,mamífero
Tamarino bigotudo,terrestre,mamífero
Muriqui,terrestre,mamífero
Aullador rojo,terrestre,mamífero
Capuchino de cara blanca,terrestre,mamífero
Mangabey,terrestre,mamífero
Talapoin,terrestre,mamífero
Mono azul,terrestre,mamífero
Mono de Diana,terrestre,mamífero
Mono de cola roja,terrestre,mamífero
Colobo rojo,terrestre,mamífero
Langur dorado,terrestre,mamífero
Mono dorado de nariz chata,terrestre,mamífero
Gibón de mejillas blancas,terrestre,mamífero
Gibón hoolock,terrestre,mamífero
Orangután de Tapanuli,terrestre,mamífero
Gorila oriental de llanura,terrestre,mamífero
Lémur negro,terrestre,mamífero
Lémur de collar blanco y negro,terrestre,mamífero
Lémur pardo,terrestre,mamífero
Lémur de vientre rojo,terrestre,mamífero
Lémur saltador,terrestre,mamífero
Potto,terrestre,mamífero
Angwantibo,terrestre,mamífero
Loris esbelto,terrestre,mamífero
Caballo frisón,terrestre,mamífero
Caballo mustang,terrestre,mamífero
Caballo andaluz,terrestre,mamífero
Caballo clydesdale,terrestre,mamífero
Caballo islandés,terrestre,mamífero
Asno salvaje africano,terrestre,mamífero
Búfalo enano,terrestre,mamífero
Kouprey,terrestre,mamífero
Tamarao,terrestre,mamífero
Saola,terrestre,mamífero
Vaca highland,terrestre,mamífero
Buey watusi,terrestre,mamífero
Cabra de Angora,terrestre,mamífero
Cabra pigmea,terrestre,mamífero
Gacela de Mongolia,terrestre,mamífero
Gacela persa,terrestre,mamífero
Gacela de Speke,terrestre,mamífero
Gacela de Cuvier,terrestre,mamífero
Gacela dama,terrestre,mamífero
Antílope jeroglífico,terrestre,mamífero
Órix cimitarra,terrestre,mamífero
Órix beisa,terrestre,mamífero
Blesbok,terrestre,mamífero
Bontebok,terrestre,mamífero
Hirola,terrestre,mamífero
Puku,terrestre,mamífero
Kob,terrestre,mamífero
Oribí,terrestre,mamífero
Steenbok,terrestre,mamífero
Saltarrocas africano,terrestre,mamífero
Suni,terrestre,mamífero
Antílope real,terrestre,mamífero
Duiker de Jentink,terrestre,mamífero
Duiker cebra,terrestre,mamífero
Duiker de lomo amarillo,terrestre,mamífero
Nyala de montaña,terrestre,mamífero
Eland gigante,terrestre,mamífero
Antílope de cuatro cuernos,terrestre,mamífero
Tsessebe,terrestre,mamífero
Argalí,terrestre,mamífero
Urial,terrestre,mamífero
Baral,terrestre,mamífero
Arruí,terrestre,mamífero
Tur del Cáucaso,terrestre,mamífero
Íbice de Nubia,terrestre,mamífero
Íbice siberiano,terrestre,mamífero
Cabra salvaje de Creta,terrestre,mamífero
Ciervo del padre David,terrestre,mamífero
Ciervo de Eld,terrestre,mamífero
Ciervo porcino,terrestre,mamífero
Ciervo de las pampas,terrestre,mamífero
Taruca,terrestre,mamífero
Corzuela,terrestre,mamífero
Venado temazate,terrestre,mamífero
Ciervo de Timor,terrestre,mamífero
Barasinga,terrestre,mamífero
Ciervo acuático chino,terrestre,mamífero
Ciervo de copete,terrestre,mamífero
Jirafa de Rothschild,terrestre,mamífero
Jirafa de Kordofán,terrestre,mamífero
Cerdo barbudo,terrestre,mamífero
Cerdo vietnamita,terrestre,mamífero
Jabalí enano,terrestre,mamífero
Pecarí del Chaco,terrestre,mamífero
Armadillo peludo,terrestre,mamífero
Armadillo de seis bandas,terrestre,mamífero
Mulita,terrestre,mamífero
Perezoso de collar,terrestre,mamífero
Perezoso pigmeo,terrestre,mamífero
Canguro antílope,terrestre,mamífero
Ualarú,terrestre,mamífero
Ualabí de roca,terrestre,mamífero
Ualabí de Bennett,terrestre,mamífero
Pademelón,terrestre,mamífero
Bettong,terrestre,mamífero
Wombat de nariz peluda,terrestre,mamífero
Zarigüeya lanuda,terrestre,mamífero
Zarigüeya de cuatro ojos,terrestre,mamífero
Yapok,terrestre,mamífero
Monito del monte,terrestre,mamífero
Marmosa,terrestre,mamífero
Dunnart,terrestre,mamífero
Antequino,terrestre,mamífero
Planigale,terrestre,mamífero
Mulgara,terrestre,mamífero
Kowari,terrestre,mamífero
Topo marsupial,terrestre,mamífero
Falangero de cola de cepillo,terrestre,mamífero
Cuscús moteado,terrestre,mamífero
Nutria de río norteamericana,terrestre,mamífero
Nutria asiática de garras pequeñas,terrestre,mamífero
Nutria lisa,terrestre,mamífero
Nutria de cuello manchado,terrestre,mamífero
Visón europeo,terrestre,mamífero
Turón,terrestre,mamífero
Hurón de patas negras,terrestre,mamífero
Marta pescadora,terrestre,mamífero
Marta de garganta amarilla,terrestre,mamífero
Garduña,terrestre,mamífero
Comadreja de cola larga,terrestre,mamífero
Tejón porcino,terrestre,mamífero
Tejón hurón,terrestre,mamífero
Tejón japonés,terrestre,mamífero
Zorrillo de espalda blanca,terrestre,mamífero
Zorrillo de la Patagonia,terrestre,mamífero
Mapache cangrejero,terrestre,mamífero
Coatí de nariz blanca,terrestre,mamífero
Coatí de montaña,terrestre,mamífero
Mangosta gris de la India,terrestre,mamífero
Mangosta de cola anillada,terrestre,mamífero
Mangosta amarilla,terrestre,mamífero
Cusimanse,terrestre,mamífero
Civeta de la India,terrestre,mamífero
Civeta enmascarada,terrestre,mamífero
Linsang,terrestre,mamífero
Civeta nutria,terrestre,mamífero
Fanaloka,terrestre,mamífero
Falanouc,terrestre,mamífero
Puercoespín brasileño,terrestre,mamífero
Rata de bambú,terrestre,mamífero
Rata topo de Damara,terrestre,mamífero
Ratón espinoso,terrestre,mamífero
Ratón de las cosechas,terrestre,mamífero
Ratón saltamontes,terrestre,mamífero
Ratón de patas blancas,terrestre,mamífero
Ratón ciervo,terrestre,mamífero
Rata algodonera,terrestre,mamífero
Rata de agua,terrestre,mamífero
Rata de roca laosiana,terrestre,mamífero
Ardilla gigante de la India,terrestre,mamífero
Ardilla de Prevost,terrestre,mamífero
Ardilla zorro,terrestre,mamífero
Ardilla de Douglas,terrestre,mamífero
Ardilla antílope,terrestre,mamífero
Ardilla terrestre de trece franjas,terrestre,mamífero
Marmota de vientre amarillo,terrestre,mamífero
Marmota del Himalaya,terrestre,mamífero
Tuco-tuco,terrestre,mamífero
Chinchillón,terrestre,mamífero
Cuy silvestre,terrestre,mamífero
Hutía,terrestre,mamífero
Jutía conga,terrestre,mamífero
Acuchí,terrestre,mamífero
Rata de las nubes,terrestre,mamífero
Ratón de abazones,terrestre,mamífero
Jerbo de orejas largas,terrestre,mamífero
Gerbillo de Mongolia,terrestre,mamífero
Hámster ruso,terrestre,mamífero
Hámster chino,terrestre,mamífero
Hámster roborowski,terrestre,mamífero
Campañol,terrestre,mamífero
Teporingo,terrestre,mamífero
Conejo pigmeo,terrestre,mamífero
Liebre de California,terrestre,mamífero
Liebre del Cabo,terrestre,mamífero
Liebre de montaña,terrestre,mamífero
Erizo de vientre blanco,terrestre,mamífero
Erizo del desierto,terrestre,mamífero
Gimnuro,terrestre,mamífero
Musaraña acuática,terrestre,mamífero
Musaraña de cola corta,terrestre,mamífero
Topo dorado,terrestre,mamífero
Desmán ruso,terrestre,mamífero
Tenrec rayado,terrestre,mamífero
Damán arborícola,terrestre,mamífero
Pangolín arborícola,terrestre,mamífero
Pangolín de cola larga,terrestre,mamífero
Pangolín indio,terrestre,mamífero
Bóxer,terrestre,perro doméstico
Akita,terrestre,perro doméstico
Shiba inu,terrestre,perro doméstico
Dálmata,terrestre,perro doméstico
Cocker spaniel,terrestre,perro doméstico
Golden retriever,terrestre,perro doméstico
Bull terrier,terrestre,perro doméstico
Staffordshire bull terrier,terrestre,perro doméstico
Bichón maltés,terrestre,perro doméstico
Pomerania,terrestre,perro doméstico
Carlino,terrestre,perro doméstico
Yorkshire terrier,terrestre,perro doméstico
Schnauzer,terrestre,perro doméstico
Pastor australiano,terrestre,perro doméstico
Mastín español,terrestre,perro doméstico
Mastín napolitano,terrestre,perro doméstico
Cane corso,terrestre,perro doméstico
Dogo de Burdeos,terrestre,perro doméstico
Terranova,terrestre,perro doméstico
Leonberger,terrestre,perro doméstico
Lobero irlandés,terrestre,perro doméstico
Borzoi,terrestre,perro doméstico
Basset hound,terrestre,perro doméstico
Pointer,terrestre,perro doméstico
Setter irlandés,terrestre,perro doméstico
Braco alemán,terrestre,perro doméstico
Weimaraner,terrestre,perro doméstico
Rhodesian ridgeback,terrestre,perro doméstico
Kangal,terrestre,perro doméstico
Pastor del Cáucaso,terrestre,perro doméstico
Boyero de Berna,terrestre,perro doméstico
Samoyedo,terrestre,perro doméstico
Malamute de Alaska,terrestre,perro doméstico
Chow chow,terrestre,perro doméstico
Shar pei,terrestre,perro doméstico
Corgi galés,terrestre,perro doméstico
Jack russell terrier,terrestre,perro doméstico
Fox terrier,terrestre,perro doméstico
Bulldog francés,terrestre,perro doméstico
Boston terrier,terrestre,perro doméstico
Perro de agua español,terrestre,perro doméstico
Xoloitzcuintle,terrestre,perro doméstico
Podenco ibicenco,terrestre,perro doméstico
Whippet,terrestre,perro doméstico
Saluki,terrestre,perro doméstico
Basenji,terrestre,perro doméstico
Cocodrilo de Cuba,terrestre,reptil
Cocodrilo de Morelet,terrestre,reptil
Cocodrilo enano,terrestre,reptil
Cocodrilo siamés,terrestre,reptil
Cocodrilo filipino,terrestre,reptil
Cocodrilo hociquifino africano,terrestre,reptil
Caimán enano de Cuvier,terrestre,reptil
Caimán de hocico ancho,terrestre,reptil
Varano de sabana,terrestre,reptil
Varano esmeralda,terrestre,reptil
Varano de Gould,terrestre,reptil
Varano cocodrilo,terrestre,reptil
Varano de Bengala,terrestre,reptil
Iguana azul,terrestre,reptil
Iguana de Fiyi,terrestre,reptil
Iguana de cola espinosa,terrestre,reptil
Iguana del Caribe,terrestre,reptil
Chuckwalla,terrestre,reptil
Anolis verde,terrestre,reptil
Anolis caballero,terrestre,reptil
Lagarto de cristal,terrestre,reptil
Lagarto caimán chino,terrestre,reptil
Lagarto armadillo,terrestre,reptil
Lagarto de cola espinosa,terrestre,reptil
Lagarto gigante de El Hierro,terrestre,reptil
Lagarto verde europeo,terrestre,reptil
Lagartija colilarga,terrestre,reptil
Lagartija roquera,terrestre,reptil
Salamanquesa común,terrestre,reptil
Salamanquesa rosada,terrestre,reptil
Gecko de cola de hoja,terrestre,reptil
Gecko diurno de Madagascar,terrestre,reptil
Gecko gigante de Nueva Caledonia,terrestre,reptil
Eslizón de cola prensil,terrestre,reptil
Eslizón de fuego,terrestre,reptil
Eslizón ibérico,terrestre,reptil
Pez de arena del Sahara,terrestre,reptil
Camaleón velado,terrestre,reptil
Camaleón de Meller,terrestre,reptil
Camaleón de Oustalet,terrestre,reptil
Camaleón enano de Madagascar,terrestre,reptil
Pitón diamantina,terrestre,reptil
Pitón de cabeza negra,terrestre,reptil
Pitón de labios blancos,terrestre,reptil
Pitón de sangre,terrestre,reptil
Boa de arena,terrestre,reptil
Boa rosada,terrestre,reptil
Boa de Madagascar,terrestre,reptil
Boa arborícola amazónica,terrestre,reptil
Majá de Santa María,terrestre,reptil
Cobra de monóculo,terrestre,reptil
Cobra del Cabo,terrestre,reptil
Cobra de bosque,terrestre,reptil
Cobra escupidora de Mozambique,terrestre,reptil
Krait común,terrestre,reptil
Krait bandeado,terrestre,reptil
Mamba de Jameson,terrestre,reptil
Cascabel del bosque,terrestre,reptil
Cascabel de Mojave,terrestre,reptil
Cascabel pigmea,terrestre,reptil
Cascabel de la pradera,terrestre,reptil
Víbora de pestañas,terrestre,reptil
Yarará,terrestre,reptil
Víbora de Orsini,terrestre,reptil
Víbora europea común,terrestre,reptil
Víbora de Seoane,terrestre,reptil
Víbora de escamas de sierra,terrestre,reptil
Víbora rinoceronte,terrestre,reptil
Víbora de los arbustos,terrestre,reptil
Serpiente hocico de cerdo,terrestre,reptil
Serpiente índigo,terrestre,reptil
Serpiente ratonera,terrestre,reptil
Culebra de escalera,terrestre,reptil
Culebra de herradura,terrestre,reptil
Culebra viperina,terrestre,reptil
Culebra lisa,terrestre,reptil
Culebra de Esculapio,terrestre,reptil
Serpiente de jarretera,terrestre,reptil
Serpiente lechera,terrestre,reptil
Serpiente de los manglares,terrestre,reptil
Serpiente arborícola parda,terrestre,reptil
Serpiente gato,terrestre,reptil
Serpiente comedora de huevos,terrestre,reptil
Serpiente hilo,terrestre,reptil
Serpiente de pipa,terrestre,reptil
Tortuga mediterránea,terrestre,reptil
Tortuga estrellada,terrestre,reptil
Tortuga radiada,terrestre,reptil
Tortuga angonoka,terrestre,reptil
Tortuga de patas rojas,terrestre,reptil
Tortuga de patas amarillas,terrestre,reptil
Tortuga del desierto,terrestre,reptil
Tortuga gopher,terrestre,reptil
Tortuga pintada,terrestre,reptil
Tortuga mapa,terrestre,reptil
Tortuga almizclera,terrestre,reptil
Tortuga nariz de cerdo,terrestre,reptil
Tortuga de cuello largo,terrestre,reptil
Tortuga cuello de serpiente,terrestre,reptil
Galápago leproso,terrestre,reptil
Galápago europeo,terrestre,reptil
Tortuga charapa,terrestre,reptil
Tortuga de caja asiática,terrestre,reptil
Tortuga gigante de caparazón blando,terrestre,reptil
Rana arborícola verde,terrestre,anfibio
Rana arborícola de White,terrestre,anfibio
Rana de San Antonio,terrestre,anfibio
Rana leopardo,terrestre,anfibio
Rana de bosque,terrestre,anfibio
Rana ágil,terrestre,anfibio
Rana bermeja,terrestre,anfibio
Rana de Darwin,terrestre,anfibio
Rana del Titicaca,terrestre,anfibio
Rana pollo de montaña,terrestre,anfibio
Rana musgosa,terrestre,anfibio
Rana mono encerada,terrestre,anfibio
Rana dardo fresa,terrestre,anfibio
Rana dardo arlequín,terrestre,anfibio
Rana dardo verde y negra,terrestre,anfibio
Rana de uñas africana,terrestre,anfibio
Rana toro africana,terrestre,anfibio
Rana de lluvia del desierto,terrestre,anfibio
Rana tortuga,terrestre,anfibio
Rana púrpura,terrestre,anfibio
Sapo de vientre de fuego,terrestre,anfibio
Sapo verde,terrestre,anfibio
Sapo del desierto de Sonora,terrestre,anfibio
Sapo americano,terrestre,anfibio
Sapo de espuelas,terrestre,anfibio
Sapo cornudo asiático,terrestre,anfibio
Sapillo pintojo,terrestre,anfibio
Sapo de boca estrecha,terrestre,anfibio
Salamandra gigante japonesa,terrestre,anfibio
Salamandra gigante americana,terrestre,anfibio
Salamandra moteada,terrestre,anfibio
Salamandra de lomo rojo,terrestre,anfibio
Salamandra ciega de Texas,terrestre,anfibio
Proteo,terrestre,anfibio
Sirena mayor,terrestre,anfibio
Anfiuma,terrestre,anfibio
Ajolote,terrestre,anfibio
Tritón palmeado,terrestre,anfibio
Tritón jaspeado,terrestre,anfibio
Tritón de vientre de fuego,terrestre,anfibio
Tritón ibérico,terrestre,anfibio
Tritón pigmeo,terrestre,anfibio
Kagu,terrestre,ave que no vuela
Casuario enano,terrestre,ave que no vuela
Ñandú de Darwin,terrestre,ave que no vuela
Kiwi moteado,terrestre,ave que no vuela
Avestruz somalí,terrestre,ave que no vuela
